City,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Lake Forest city, California","77,264","77,445","77,552","78,299","78,727","79,112","79,678","81,964","83,019","83,878","85,381","85,531"
"Lakeport city, California","4,753","4,754","4,757","4,717","4,683","4,753","4,765","4,780","4,909","4,909","4,926","5,006"
"Lakewood city, California","80,048","80,086","80,079","80,413","80,672","80,883","80,927","80,951","80,895","80,510","79,907","79,307"
"La Mesa city, California","57,065","57,016","57,149","57,644","58,099","58,556","58,855","59,697","59,751","59,722","59,389","59,249"
"La Mirada city, California","48,527","48,527","48,535","48,702","48,851","48,961","49,019","49,129","49,054","48,827","48,544","48,183"
"Lancaster city, California","156,633","156,649","156,824","158,078","158,253","159,055","159,634","159,813","159,633","159,434","158,622","157,601"
"La Palma city, California","15,568","15,525","15,545","15,676","15,757","15,846","15,819","15,806","15,739","15,644","15,525","15,428"
"La Puente city, California","39,816","39,832","39,843","40,032","40,166","40,305","40,367","40,412","40,250","40,078","39,772","39,614"
"La Quinta city, California","37,467","37,465","37,670","38,142","38,494","39,119","39,742","40,209","40,777","41,180","41,464","41,748"
"Larkspur city, California","11,926","11,908","11,920","12,022","12,075","12,185","12,286","12,383","12,362","12,316","12,302","12,254"
"Lathrop city, California","18,023","17,589","17,695","18,313","18,615","19,120","19,506","20,287","21,564","22,221","23,227","24,483"
"La Verne city, California","31,063","31,096","31,103","31,231","31,349","31,659","32,240","32,442","32,350","32,258","32,096","31,974"
"Lawndale city, California","32,769","32,769","32,775","32,902","33,019","33,108","33,141","33,157","33,033","32,875","32,647","32,389"
"Lemon Grove city, California","25,320","25,318","25,380","25,603","25,934","26,116","26,404","26,554","26,766","26,963","26,885","26,811"
"Lemoore city, California","24,531","24,534","24,537","24,467","24,614","24,826","25,010","25,452","25,666","26,262","26,470","26,725"
"Lincoln city, California","42,819","42,926","43,099","43,771","44,240","45,018","45,727","46,286","46,965","47,525","47,862","48,275"
"Lindsay city, California","11,768","11,756","11,772","12,659","12,771","12,938","13,107","13,147","13,213","13,249","13,448","13,463"
"Live Oak city, California","8,392","8,465","8,465","8,550","8,361","8,373","8,383","8,411","8,707","8,724","8,723","8,912"
"Livermore city, California","80,968","81,426","81,599","82,589","83,831","85,448","87,017","88,248","89,572","90,137","90,253","90,189"
"Livingston city, California","13,058","13,020","13,068","13,366","13,416","13,460","13,722","13,810","13,916","14,085","14,417","14,896"
"Lodi city, California","62,134","62,121","62,253","62,741","63,048","63,128","63,620","64,264","64,578","65,715","67,003","67,586"
