zip,city,population,SeptIncid,tests_2020_03,tests_2020_04,tests_2020_05,tests_2020_06,tests_2020_07,tests_2020_08,tests_2020_09,tests_2020_10,tests_2020_11,tests_2020_12,tests_2021_01,tests_2021_02,tests_2021_03,tests_2021_04,tests_2021_05,tests_2021_06,tests_2021_07,tests_2021_08,tests_2021_09,tests_2021_10,tests_2021_11,tests_2021_12,tests_2022_01,tests_2022_02,tests_2022_03,tests_2022_04,cases_2020_03,cases_2020_04,cases_2020_05,cases_2020_06,cases_2020_07,cases_2020_08,cases_2020_09,cases_2020_10,cases_2020_11,cases_2020_12,cases_2021_01,cases_2021_02,cases_2021_03,cases_2021_04,cases_2021_05,cases_2021_06,cases_2021_07,cases_2021_08,cases_2021_09,cases_2021_10,cases_2021_11,cases_2021_12,cases_2022_01,cases_2022_02,cases_2022_03,cases_2022_04
92805,Anaheim,76299,67.47063252,99,515,1613,3491,4859,4008,3803,4957,7495,17587,16830,7737,6243,5723,4735,3488,4473,6753,7992,7349,7315,11245,23799,8315,6164,3411,32,92,313,769,852,474,288,367,1008,4149,2973,521,185,114,41,44,265,478,297,244,251,1432,6255,514,135,107
92806,Anaheim,41759,24.21112097,70,292,942,1981,2551,2008,1985,2645,4113,9180,10972,6675,6913,6464,4273,2299,2485,4103,4605,4538,4420,7155,13075,4458,3344,1955,10,53,109,373,466,184,117,185,459,1874,1346,304,88,48,31,23,151,325,148,158,132,938,3319,347,71,67
92807,Anaheim,37263,27.64645711,73,307,693,1398,1899,1539,1546,2252,3507,6504,6312,3403,3241,3215,2418,2277,2670,4029,4471,4255,4127,6920,10104,4043,3147,1973,11,27,32,139,212,99,62,94,305,1081,825,157,72,60,8,31,193,362,190,181,170,1012,2517,296,81,68
92808,Anaheim,21301,27.44647937,61,143,348,756,969,793,792,1179,1745,3358,3078,1582,1623,1804,1324,1149,1455,2157,2425,2144,2126,3439,4950,2024,1671,1059,10,7,9,63,124,31,26,27,135,511,451,88,23,29,11,10,87,195,99,55,73,483,1114,163,25,28
92821,Brea,39917,19.69999719,79,272,911,1614,2194,1890,1833,2772,3969,6629,6252,3944,3698,3640,3383,2426,3099,5013,5111,4936,5094,7832,14323,5738,4055,2430,6,9,34,139,217,86,46,105,300,987,624,200,46,39,23,17,207,361,167,129,122,963,3164,343,77,88
92823,Brea,5076,55.35566012,12,49,94,194,284,222,247,397,512,839,900,389,484,426,442,372,455,636,762,648,732,1297,2023,719,1019,303,1,10,3,13,15,10,8,13,40,120,150,12,7,10,2,3,21,38,14,22,15,148,413,44,9,13
92831,Fullerton,35725,24.85089463,41,307,894,1852,2529,1940,2147,2937,4337,7052,7350,4013,3901,3984,3118,2299,2526,4184,4442,4093,4865,6262,11205,4116,2932,1879,1,44,59,215,306,118,90,119,353,1049,938,216,66,54,24,27,192,291,184,125,152,786,2476,252,59,70
92832,Fullerton,26225,22.22042663,41,175,514,1300,1833,1433,1429,1832,2831,5490,6076,3157,2966,2679,2100,1685,2026,3336,3333,3074,3088,4653,9299,3322,2634,1676,8,11,36,228,323,107,48,91,273,1044,936,179,70,40,13,24,141,251,120,83,93,681,2048,169,67,45
92833,Fullerton,55716,28.01012228,63,281,1029,2309,2967,2503,2409,3263,4763,9586,9496,5081,5015,5220,4319,2857,3761,5961,6164,5577,5425,9043,17139,7023,5697,3090,6,27,66,275,375,152,98,177,458,1651,1309,283,114,51,20,24,171,450,215,167,165,1141,3525,343,101,115
92835,Fullerton,26247,52.06164098,53,197,536,1608,1821,1560,2214,2618,3242,5339,5569,3239,3117,3174,2518,2096,2563,3343,3285,3298,3091,4807,8235,4156,3077,1810,6,3,12,130,106,91,150,89,146,582,527,143,30,25,13,17,116,193,121,91,73,536,1480,224,54,81
92840,Garden Grove,55661,50.84777102,75,380,950,2313,3361,2963,3250,3605,5265,11597,11799,6001,4977,4731,3688,2828,3330,5174,5745,4721,4483,7725,17336,6583,4687,2679,4,29,101,349,451,187,202,176,585,2330,1842,427,99,39,28,35,208,386,194,134,175,1032,4189,513,107,60
92841,Garden Grove,33921,30.4460344,48,319,705,1250,1685,1689,1505,1815,2989,6613,6360,3230,2760,2685,2083,1540,1761,2864,3219,2907,2804,4638,10861,3611,2711,1488,5,23,68,171,215,80,42,67,365,1324,990,236,59,51,23,11,109,229,116,75,112,704,2615,293,69,50
92843,Garden Grove,48185,35.38726943,61,321,1156,1813,2757,2369,1923,2221,3716,9064,9065,4283,3565,3195,2846,2223,2689,4533,4560,3910,3810,6273,14150,5821,4711,2291,8,53,113,288,430,206,102,106,504,2044,1585,360,134,50,16,22,141,304,131,91,96,885,3431,369,85,67
92844,Garden Grove,26068,6.171061834,31,152,410,774,1040,879,799,1041,1671,4135,4319,2164,1718,1457,1237,988,1087,1826,1960,1707,1825,2847,6574,2191,1704,952,4,25,27,83,143,73,45,40,206,858,722,148,78,28,12,21,73,130,73,45,52,417,1603,161,46,37
92845,Garden Grove,16541,24.49029572,47,116,267,548,697,562,585,1058,1668,2607,2755,1784,1657,1567,1218,873,1197,1889,1977,1813,1790,2446,4008,1787,1498,849,4,6,9,40,59,24,16,19,113,383,374,80,23,21,7,14,102,148,68,51,39,328,909,125,37,32
92861,Villa Park,5864,8.64902266,20,39,94,195,199,202,256,323,426,721,537,371,426,418,329,345,402,542,506,437,512,752,994,486,405,266,5,1,4,24,14,4,3,16,36,103,88,18,4,2,1,1,34,41,8,14,23,106,203,28,4,9
92865,Orange,21028,50.75111652,35,156,415,760,942,776,813,1209,1689,3375,3334,1696,1508,1382,1131,905,1273,1911,2017,1911,1808,3012,5373,2060,1573,930,4,14,53,113,136,61,41,65,237,753,540,122,28,19,16,10,79,158,84,62,81,436,1379,168,48,34
92866,Orange,15345,57.10446758,31,81,276,558,831,700,883,1197,1484,2301,2597,1478,1416,1159,826,704,872,1369,1493,1595,1518,2356,3956,1737,1426,898,4,12,15,94,105,38,37,50,108,414,355,90,46,33,4,10,54,135,76,50,49,272,892,89,28,29
92867,Orange,46436,22.46433786,82,261,733,1446,1853,1505,1680,2464,3385,6143,6155,3185,3224,3349,2311,2092,2447,3786,4062,3458,3499,5645,9617,3867,2983,1924,3,23,61,188,289,92,61,113,356,1273,962,187,81,43,25,19,166,321,174,115,128,845,2370,269,60,75
92868,Orange,26803,47.23665564,58,619,1024,1505,2304,2162,2376,3089,4292,9118,8911,5050,4453,3401,2796,2861,3235,4705,4613,4075,3794,5935,10226,5381,4220,2838,6,71,108,229,275,133,77,91,320,1485,897,154,51,38,16,18,97,196,133,94,61,582,1963,263,56,60
92869,Orange,38271,24.20395869,76,275,664,1306,1780,1364,1356,1896,3136,5786,5381,2859,2626,2787,2035,1826,2359,3639,3731,3194,3095,5115,8389,3335,2733,1635,20,33,57,194,255,79,61,75,301,1144,848,200,63,42,35,40,144,285,160,106,115,724,2154,219,52,67
